"No.","Time","Source","Destination","Protocol","Length","Data","Value","Opcode","UUID"
"16029","1265.958519","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Include"
"16031","1265.972278","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","14","â\234\223","","Error Response","0xffe0,Include"
"16033","1265.973747","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Characteristic"
"16035","1265.986491","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","18","â\234\223","","Read By Type Response","Characteristic,0xffe1,0xffe1,Characteristic"
"16036","1265.988035","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","","Read By Type Request","Characteristic"
"16038","1266.001646","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","14","â\234\223","","Error Response","0xffe1,Characteristic"
"16039","1266.003474","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","14","â\234\223","","Find Information Request",""
"16041","1266.016519","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","15","â\234\223","","Find Information Response","Client Characteristic Configuration,Client Characteristic Configuration"
"16044","1266.028059","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","14","â\234\223","","Write Request","Client Characteristic Configuration"
"16046","1266.039486","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","10","â\234\223","","Write Response","Client Characteristic Configuration"
"16053","1266.131731","SamsungElect_dc:71:4a (Galaxy Tab A8)","ShenZhenShiX_a6:10:3a (SandTable)","ATT","16","â\234\223","b2deac01","Write Request","0xffe1"
"16058","1266.196801","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","10","â\234\223","","Write Response","0xffe1"
"16060","1266.241326","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","27","â\234\223","bb010104030514b5000000789bff01","Handle Value Notification","0xffe1"
"16062","1266.467667","ShenZhenShiX_a6:10:3a (SandTable)","SamsungElect_dc:71:4a (Galaxy Tab A8)","ATT","27","â\234\223","000200ff00ff3c00ff0000ff00ff14","Handle Value Notification","0xffe1"
